f,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.555490e+01,5.240830e+00,3.914756e+00,7.064648e+00,-6.255947e+00,-7.605290e+00
1.562500e-02,1.613930e+01,8.137674e+00,3.946227e+00,8.630351e+00,2.473400e+00,-1.437412e+01
3.125000e-02,1.497753e+01,7.079274e+00,4.702781e+00,6.680738e+00,2.551455e+00,-1.004786e+01
4.687500e-02,1.529268e+01,9.255175e+00,5.704543e+00,6.160474e+00,6.422496e-01,-1.623113e+01
6.250000e-02,1.539301e+01,8.264997e+00,4.865695e+00,5.358873e+00,-1.013837e+00,-1.260795e+01
7.812500e-02,1.489293e+01,6.863003e+00,4.074052e+00,5.614808e+00,7.746685e-02,-1.387506e+01
9.375000e-02,1.435559e+01,8.834224e+00,8.386328e-01,1.407490e+00,-7.285463e-01,-8.674101e+00
1.093750e-01,1.433480e+01,8.115376e+00,-4.853880e-01,1.107628e+00,-1.475622e+00,-1.152333e+01
1.250000e-01,1.394985e+01,6.483829e+00,5.909439e-01,-1.878064e+00,-5.994853e+00,-1.270199e+01
1.406250e-01,1.356665e+01,5.893058e+00,-7.638163e-02,-2.155111e+00,-6.134321e+00,-1.200144e+01
1.562500e-01,1.313247e+01,4.393618e+00,-3.331190e+00,-2.702883e+00,-5.778098e+00,-1.728965e+01
1.718750e-01,1.281251e+01,4.091646e+00,4.977193e-01,-3.716581e+00,-6.006795e+00,-1.633721e+01
1.875000e-01,1.297490e+01,3.265062e+00,-1.605162e+00,-8.413331e+00,-7.285981e+00,-1.047526e+01
2.031250e-01,1.237721e+01,2.048948e+00,-9.974198e-01,-8.604970e+00,-9.628676e+00,-1.637863e+01
2.187500e-01,1.230956e+01,1.526325e+00,-1.332792e+00,-6.220773e+00,-1.339316e+01,-2.615473e+01
2.343750e-01,1.065931e+01,-1.458069e-02,-2.946874e+00,-7.474680e+00,-1.480913e+01,-1.434830e+01
2.500000e-01,6.002390e+00,-4.226006e+00,-7.263744e+00,-1.537519e+01,-2.580330e+01,-2.862223e+01
2.656250e-01,-7.555446e+00,-1.785445e+01,-1.900093e+01,-2.926039e+01,-2.988970e+01,-3.424023e+01
2.812500e-01,-2.909886e+01,-3.145093e+01,-3.794135e+01,-3.511175e+01,-4.092549e+01,-4.109946e+01
2.968750e-01,-2.988082e+01,-3.371023e+01,-4.016352e+01,-3.803394e+01,-4.863221e+01,-4.593872e+01
3.125000e-01,-3.158449e+01,-3.502255e+01,-3.936607e+01,-4.172525e+01,-4.267400e+01,-4.039722e+01
3.281250e-01,-3.423084e+01,-3.571755e+01,-4.203429e+01,-3.837978e+01,-4.273776e+01,-3.855441e+01
3.437500e-01,-3.394443e+01,-3.807357e+01,-4.280149e+01,-4.188063e+01,-4.387258e+01,-4.365474e+01
3.593750e-01,-3.534694e+01,-4.000461e+01,-4.037273e+01,-3.959196e+01,-4.277440e+01,-4.243465e+01
3.750000e-01,-3.450321e+01,-3.931042e+01,-4.397588e+01,-4.208021e+01,-5.358239e+01,-4.570535e+01
3.906250e-01,-3.879458e+01,-3.905174e+01,-5.022181e+01,-4.313371e+01,-5.147716e+01,-5.265867e+01
4.062500e-01,-3.500840e+01,-4.318151e+01,-4.463881e+01,-4.162685e+01,-4.662834e+01,-4.684881e+01
4.218750e-01,-3.464013e+01,-4.175367e+01,-3.721433e+01,-3.894407e+01,-4.019169e+01,-4.067846e+01
4.375000e-01,-3.519345e+01,-3.815045e+01,-3.802295e+01,-4.418478e+01,-4.297345e+01,-4.449506e+01
4.531250e-01,-3.304241e+01,-3.500835e+01,-3.072338e+01,-3.470333e+01,-3.847412e+01,-4.416452e+01
4.687500e-01,-4.006787e+01,-3.673657e+01,-3.226094e+01,-3.663299e+01,-3.816068e+01,-4.755289e+01
4.843750e-01,-3.818706e+01,-3.119174e+01,-2.891136e+01,-3.212216e+01,-3.638986e+01,-4.768916e+01
5.000000e-01,-4.216183e+01,-6.036496e+01,-6.563584e+01,-4.089755e+01,-5.524473e+01,-5.380363e+01
