index,h_0,h_1,h_2,h_3,h_4,h_5
0.000000e+00,1.094529e-02,2.607138e-03,1.111698e-03,1.103880e-03,1.550642e-03,1.221776e-03
1.000000e+00,1.969791e-02,2.662659e-03,1.415485e-03,1.100467e-03,1.823205e-03,2.622081e-03
2.000000e+00,1.917002e-02,4.377320e-03,2.240575e-03,2.347371e-03,2.215671e-03,1.818948e-03
3.000000e+00,1.051116e-02,2.867081e-03,3.654665e-03,2.401687e-03,1.536295e-03,1.266515e-03
4.000000e+00,2.711116e-03,6.440862e-03,2.250869e-03,3.390554e-03,1.991186e-03,1.530750e-03
5.000000e+00,4.736633e-03,3.597525e-03,1.860678e-03,2.054978e-03,1.845317e-03,9.876605e-04
6.000000e+00,5.580203e-03,5.375574e-03,3.766766e-03,4.877547e-03,1.636051e-03,7.579464e-04
7.000000e+00,1.121635e-02,3.312754e-03,4.204713e-03,2.461093e-03,1.324956e-03,5.658530e-04
8.000000e+00,2.546255e-02,5.703175e-03,4.377167e-03,3.446208e-03,1.523761e-03,9.668053e-04
9.000000e+00,2.192311e-02,5.693902e-03,3.967566e-03,2.111534e-03,1.736541e-03,1.290502e-03
1.000000e+01,1.602608e-02,8.935501e-03,8.689884e-03,5.034751e-03,1.515525e-03,5.835262e-04
1.100000e+01,2.323139e-02,9.210010e-03,8.587938e-03,4.044104e-03,2.633173e-04,2.038183e-03
1.200000e+01,1.369357e-02,1.173745e-02,1.132116e-02,5.864652e-03,3.437407e-03,1.774470e-03
1.300000e+01,2.449538e-02,1.803038e-02,1.114596e-02,8.565463e-03,3.109105e-03,3.382434e-03
1.400000e+01,3.782877e-02,1.550305e-02,1.952679e-02,1.031173e-02,5.186191e-03,4.930873e-03
1.500000e+01,2.875885e-02,3.224811e-02,1.750769e-02,1.088470e-02,6.283545e-03,3.503007e-03
1.600000e+01,4.301932e-02,2.836016e-02,2.790319e-02,1.166354e-02,6.980358e-03,4.040665e-03
1.700000e+01,3.951092e-02,4.540305e-02,2.369802e-02,1.524404e-02,7.432853e-03,5.019779e-03
1.800000e+01,6.766242e-02,4.018611e-02,3.802656e-02,1.485637e-02,9.480696e-03,4.163342e-03
1.900000e+01,5.909022e-02,6.570489e-02,3.260333e-02,2.252845e-02,9.518621e-03,5.709998e-03
2.000000e+01,9.327294e-02,5.856467e-02,5.277840e-02,2.190105e-02,1.519412e-02,5.053068e-03
2.100000e+01,8.251426e-02,9.275348e-02,4.651583e-02,3.242711e-02,1.382313e-02,6.643329e-03
2.200000e+01,1.374705e-01,8.461445e-02,6.964191e-02,3.016567e-02,2.300337e-02,7.239212e-03
2.300000e+01,1.279739e-01,1.291558e-01,6.280957e-02,4.747882e-02,2.146670e-02,1.093666e-02
2.400000e+01,1.897064e-01,1.228070e-01,1.007163e-01,4.494609e-02,3.276346e-02,1.142362e-02
2.500000e+01,1.835190e-01,1.863958e-01,9.867671e-02,6.794175e-02,3.333742e-02,1.596777e-02
2.600000e+01,2.956817e-01,1.924901e-01,1.391706e-01,7.354513e-02,4.507883e-02,1.749703e-02
2.700000e+01,3.258146e-01,2.804537e-01,1.615404e-01,9.590784e-02,5.655003e-02,2.229257e-02
