f,SNR
1.000000e+00,1.340552e+01
1.333521e+00,1.990993e+01
1.778279e+00,1.798120e+01
2.371374e+00,2.940582e+01
3.162278e+00,3.621165e+01
4.216965e+00,4.098030e+01
5.623413e+00,4.634874e+01
7.498942e+00,4.851727e+01
1.000000e+01,5.352048e+01
1.333521e+01,5.338714e+01
1.778279e+01,5.565028e+01
2.371374e+01,5.865576e+01
3.162278e+01,5.996235e+01
4.216965e+01,6.196142e+01
5.623413e+01,6.345229e+01
7.498942e+01,6.304281e+01
1.000000e+02,6.506613e+01
1.333521e+02,6.682937e+01
1.778279e+02,6.399576e+01
2.371374e+02,6.595493e+01
3.162278e+02,6.756778e+01
4.216965e+02,6.564860e+01
5.623413e+02,6.477713e+01
7.498942e+02,6.617080e+01
1.000000e+03,6.696079e+01
