f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_bb,bb
0.000000e+00,-1.488032e+02,0.000000e+00,-1.818199e+02,0.000000e+00,-1.902647e+02,0.000000e+00,-1.926096e+02,0.000000e+00,-1.571586e+02
4.882812e-04,-1.450550e+02,4.882812e-04,-1.775320e+02,4.882812e-04,-1.841153e+02,4.882812e-04,-1.881647e+02,4.882812e-04,-1.535198e+02
9.765625e-04,-1.449020e+02,9.765625e-04,-1.773088e+02,9.765625e-04,-1.831512e+02,9.765625e-04,-1.858504e+02,9.765625e-04,-1.507477e+02
1.464844e-03,-1.456860e+02,1.464844e-03,-1.774506e+02,1.464844e-03,-1.839877e+02,1.464844e-03,-1.865990e+02,1.464844e-03,-1.496130e+02
1.953125e-03,-1.454746e+02,1.953125e-03,-1.762059e+02,1.953125e-03,-1.846402e+02,1.953125e-03,-1.868853e+02,1.953125e-03,-1.511477e+02
2.441406e-03,-1.429164e+02,2.441406e-03,-1.749190e+02,2.441406e-03,-1.847680e+02,2.441406e-03,-1.884286e+02,2.441406e-03,-1.530677e+02
2.929688e-03,-1.426127e+02,2.929688e-03,-1.751064e+02,2.929688e-03,-1.861858e+02,2.929688e-03,-1.873291e+02,2.929688e-03,-1.523446e+02
3.417969e-03,-1.456569e+02,3.417969e-03,-1.755807e+02,3.417969e-03,-1.832194e+02,3.417969e-03,-1.850551e+02,3.417969e-03,-1.507140e+02
3.906250e-03,-1.474758e+02,3.906250e-03,-1.754011e+02,3.906250e-03,-1.803043e+02,3.906250e-03,-1.847150e+02,3.906250e-03,-1.511936e+02
4.394531e-03,-1.503636e+02,4.394531e-03,-1.782163e+02,4.394531e-03,-1.816082e+02,4.394531e-03,-1.854011e+02,4.394531e-03,-1.520647e+02
4.882812e-03,-1.525405e+02,4.882812e-03,-1.791246e+02,4.882812e-03,-1.828703e+02,4.882812e-03,-1.871274e+02,4.882812e-03,-1.534163e+02
5.371094e-03,-1.505179e+02,5.371094e-03,-1.771180e+02,5.371094e-03,-1.832848e+02,5.371094e-03,-1.863963e+02,5.371094e-03,-1.567862e+02
5.859375e-03,-1.499742e+02,5.859375e-03,-1.780495e+02,5.859375e-03,-1.818758e+02,5.859375e-03,-1.858485e+02,5.859375e-03,-1.558845e+02
6.347656e-03,-1.516473e+02,6.347656e-03,-1.774815e+02,6.347656e-03,-1.817575e+02,6.347656e-03,-1.860585e+02,6.347656e-03,-1.544230e+02
6.835938e-03,-1.535286e+02,6.835938e-03,-1.753731e+02,6.835938e-03,-1.821426e+02,6.835938e-03,-1.850907e+02,6.835938e-03,-1.547704e+02
7.324219e-03,-1.535185e+02,7.324219e-03,-1.766967e+02,7.324219e-03,-1.833420e+02,7.324219e-03,-1.857247e+02,7.324219e-03,-1.552213e+02
7.812500e-03,-1.528372e+02,7.812500e-03,-1.772608e+02,7.812500e-03,-1.836563e+02,7.812500e-03,-1.868003e+02,7.812500e-03,-1.557209e+02
8.300781e-03,-1.519740e+02,8.300781e-03,-1.767018e+02,8.300781e-03,-1.825871e+02,8.300781e-03,-1.866716e+02,8.300781e-03,-1.555202e+02
8.789062e-03,-1.504655e+02,8.789062e-03,-1.772271e+02,8.789062e-03,-1.819920e+02,8.789062e-03,-1.861915e+02,8.789062e-03,-1.575710e+02
9.277344e-03,-1.506163e+02,9.277344e-03,-1.767554e+02,9.277344e-03,-1.824091e+02,9.277344e-03,-1.871563e+02,9.277344e-03,-1.611616e+02
9.765625e-03,-1.504324e+02,9.765625e-03,-1.767804e+02,9.765625e-03,-1.843403e+02,9.765625e-03,-1.873192e+02,9.765625e-03,-1.607027e+02
1.025391e-02,-1.497983e+02,1.025391e-02,-1.752212e+02,1.025391e-02,-1.850243e+02,1.025391e-02,-1.866309e+02,1.025391e-02,-1.587228e+02
1.074219e-02,-1.505327e+02,1.074219e-02,-1.761597e+02,1.074219e-02,-1.839336e+02,1.074219e-02,-1.867116e+02,1.074219e-02,-1.589114e+02
1.123047e-02,-1.500636e+02,1.123047e-02,-1.748536e+02,1.123047e-02,-1.826747e+02,1.123047e-02,-1.881595e+02,1.123047e-02,-1.627303e+02
1.171875e-02,-1.496599e+02,1.171875e-02,-1.739203e+02,1.171875e-02,-1.816764e+02,1.171875e-02,-1.886064e+02,1.171875e-02,-1.651967e+02
1.220703e-02,-1.508097e+02,1.220703e-02,-1.741327e+02,1.220703e-02,-1.829932e+02,1.220703e-02,-1.873254e+02,1.220703e-02,-1.659088e+02
1.269531e-02,-1.519294e+02,1.269531e-02,-1.758977e+02,1.269531e-02,-1.839514e+02,1.269531e-02,-1.871822e+02,1.269531e-02,-1.671188e+02
1.318359e-02,-1.522322e+02,1.318359e-02,-1.769362e+02,1.318359e-02,-1.825687e+02,1.318359e-02,-1.876852e+02,1.318359e-02,-1.713142e+02
1.367188e-02,-1.508860e+02,1.367188e-02,-1.764600e+02,1.367188e-02,-1.824793e+02,1.367188e-02,-1.878700e+02,1.367188e-02,-1.780127e+02
1.416016e-02,-1.512661e+02,1.416016e-02,-1.749517e+02,1.416016e-02,-1.836345e+02,1.416016e-02,-1.888536e+02,1.416016e-02,-1.787056e+02
1.464844e-02,-1.527334e+02,1.464844e-02,-1.736978e+02,1.464844e-02,-1.822940e+02,1.464844e-02,-1.891725e+02,1.464844e-02,-1.723167e+02
1.513672e-02,-1.514843e+02,1.513672e-02,-1.745917e+02,1.513672e-02,-1.809612e+02,1.513672e-02,-1.853775e+02,1.513672e-02,-1.675990e+02
1.562500e-02,-1.511692e+02,1.562500e-02,-1.749707e+02,1.562500e-02,-1.801366e+02,1.562500e-02,-1.843808e+02,1.562500e-02,-1.663844e+02
1.611328e-02,-1.543282e+02,1.611328e-02,-1.754171e+02,1.611328e-02,-1.816842e+02,1.611328e-02,-1.858537e+02,1.611328e-02,-1.656617e+02
1.660156e-02,-1.553500e+02,1.660156e-02,-1.752159e+02,1.660156e-02,-1.811516e+02,1.660156e-02,-1.863684e+02,1.660156e-02,-1.633527e+02
1.708984e-02,-1.524364e+02,1.708984e-02,-1.742714e+02,1.708984e-02,-1.815313e+02,1.708984e-02,-1.863721e+02,1.708984e-02,-1.602603e+02
1.757812e-02,-1.531472e+02,1.757812e-02,-1.739917e+02,1.757812e-02,-1.837437e+02,1.757812e-02,-1.860955e+02,1.757812e-02,-1.592881e+02
1.806641e-02,-1.559717e+02,1.806641e-02,-1.748268e+02,1.806641e-02,-1.839744e+02,1.806641e-02,-1.878278e+02,1.806641e-02,-1.582440e+02
1.855469e-02,-1.556185e+02,1.855469e-02,-1.757100e+02,1.855469e-02,-1.838174e+02,1.855469e-02,-1.875586e+02,1.855469e-02,-1.558954e+02
1.904297e-02,-1.574251e+02,1.904297e-02,-1.764198e+02,1.904297e-02,-1.832928e+02,1.904297e-02,-1.877858e+02,1.904297e-02,-1.559730e+02
1.953125e-02,-1.575718e+02,1.953125e-02,-1.777466e+02,1.953125e-02,-1.813036e+02,1.953125e-02,-1.890425e+02,1.953125e-02,-1.553948e+02
2.001953e-02,-1.580511e+02,2.001953e-02,-1.765592e+02,2.001953e-02,-1.817132e+02,2.001953e-02,-1.877360e+02,2.001953e-02,-1.538322e+02
2.050781e-02,-1.601564e+02,2.050781e-02,-1.757446e+02,2.050781e-02,-1.840246e+02,2.050781e-02,-1.866392e+02,2.050781e-02,-1.524601e+02
2.099609e-02,-1.582043e+02,2.099609e-02,-1.771373e+02,2.099609e-02,-1.838354e+02,2.099609e-02,-1.875520e+02,2.099609e-02,-1.524286e+02
2.148438e-02,-1.597667e+02,2.148438e-02,-1.749102e+02,2.148438e-02,-1.817004e+02,2.148438e-02,-1.877675e+02,2.148438e-02,-1.523944e+02
2.197266e-02,-1.620319e+02,2.197266e-02,-1.761953e+02,2.197266e-02,-1.811887e+02,2.197266e-02,-1.869108e+02,2.197266e-02,-1.531641e+02
2.246094e-02,-1.638939e+02,2.246094e-02,-1.783174e+02,2.246094e-02,-1.838123e+02,2.246094e-02,-1.859601e+02,2.246094e-02,-1.531306e+02
2.294922e-02,-1.649999e+02,2.294922e-02,-1.756545e+02,2.294922e-02,-1.827257e+02,2.294922e-02,-1.861343e+02,2.294922e-02,-1.540476e+02
2.343750e-02,-1.654340e+02,2.343750e-02,-1.740552e+02,2.343750e-02,-1.808105e+02,2.343750e-02,-1.853023e+02,2.343750e-02,-1.522811e+02
2.392578e-02,-1.660948e+02,2.392578e-02,-1.736307e+02,2.392578e-02,-1.802974e+02,2.392578e-02,-1.852759e+02,2.392578e-02,-1.517558e+02
2.441406e-02,-1.630501e+02,2.441406e-02,-1.732915e+02,2.441406e-02,-1.803612e+02,2.441406e-02,-1.834017e+02,2.441406e-02,-1.534229e+02
2.490234e-02,-1.613675e+02,2.490234e-02,-1.727549e+02,2.490234e-02,-1.822534e+02,2.490234e-02,-1.830095e+02,2.490234e-02,-1.528985e+02
