f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_fp_4,fp_4,f_fp_5,fp_5,f_fp_6,fp_6,f_fp_7,fp_7,f_bb,bb
0.000000e+00,-1.845195e+02,0.000000e+00,-2.255605e+02,0.000000e+00,-2.284103e+02,0.000000e+00,-2.395785e+02,0.000000e+00,-2.347595e+02,0.000000e+00,-2.364294e+02,0.000000e+00,-2.409330e+02,0.000000e+00,-2.362438e+02,0.000000e+00,-1.968647e+02
4.882812e-04,-1.782457e+02,4.882812e-04,-2.273528e+02,4.882812e-04,-2.299213e+02,4.882812e-04,-2.399733e+02,4.882812e-04,-2.365074e+02,4.882812e-04,-2.375477e+02,4.882812e-04,-2.418895e+02,4.882812e-04,-2.378113e+02,4.882812e-04,-1.901614e+02
9.765625e-04,-1.771574e+02,9.765625e-04,-2.354362e+02,9.765625e-04,-2.407982e+02,9.765625e-04,-2.445326e+02,9.765625e-04,-2.490844e+02,9.765625e-04,-2.487040e+02,9.765625e-04,-2.503046e+02,9.765625e-04,-2.511868e+02,9.765625e-04,-1.877933e+02
1.464844e-03,-1.785220e+02,1.464844e-03,-2.332349e+02,1.464844e-03,-2.435216e+02,1.464844e-03,-2.462055e+02,1.464844e-03,-2.482363e+02,1.464844e-03,-2.517978e+02,1.464844e-03,-2.526069e+02,1.464844e-03,-2.531259e+02,1.464844e-03,-1.874297e+02
1.953125e-03,-1.815611e+02,1.953125e-03,-2.343409e+02,1.953125e-03,-2.426867e+02,1.953125e-03,-2.448792e+02,1.953125e-03,-2.500869e+02,1.953125e-03,-2.500641e+02,1.953125e-03,-2.534700e+02,1.953125e-03,-2.537262e+02,1.953125e-03,-1.881408e+02
2.441406e-03,-1.835930e+02,2.441406e-03,-2.357352e+02,2.441406e-03,-2.426855e+02,2.441406e-03,-2.456444e+02,2.441406e-03,-2.510069e+02,2.441406e-03,-2.502855e+02,2.441406e-03,-2.534856e+02,2.441406e-03,-2.538039e+02,2.441406e-03,-1.888895e+02
2.929688e-03,-1.851963e+02,2.929688e-03,-2.361695e+02,2.929688e-03,-2.423849e+02,2.929688e-03,-2.464828e+02,2.929688e-03,-2.488950e+02,2.929688e-03,-2.497437e+02,2.929688e-03,-2.541346e+02,2.929688e-03,-2.526532e+02,2.929688e-03,-1.894643e+02
3.417969e-03,-1.870400e+02,3.417969e-03,-2.351073e+02,3.417969e-03,-2.426628e+02,3.417969e-03,-2.453882e+02,3.417969e-03,-2.484978e+02,3.417969e-03,-2.510123e+02,3.417969e-03,-2.524788e+02,3.417969e-03,-2.522928e+02,3.417969e-03,-1.895265e+02
3.906250e-03,-1.867890e+02,3.906250e-03,-2.343172e+02,3.906250e-03,-2.431803e+02,3.906250e-03,-2.454264e+02,3.906250e-03,-2.484054e+02,3.906250e-03,-2.532768e+02,3.906250e-03,-2.508695e+02,3.906250e-03,-2.534517e+02,3.906250e-03,-1.910923e+02
4.394531e-03,-1.864151e+02,4.394531e-03,-2.349952e+02,4.394531e-03,-2.421704e+02,4.394531e-03,-2.463356e+02,4.394531e-03,-2.493427e+02,4.394531e-03,-2.535930e+02,4.394531e-03,-2.524904e+02,4.394531e-03,-2.544810e+02,4.394531e-03,-1.960886e+02
4.882812e-03,-1.878982e+02,4.882812e-03,-2.346050e+02,4.882812e-03,-2.422716e+02,4.882812e-03,-2.458738e+02,4.882812e-03,-2.505115e+02,4.882812e-03,-2.528952e+02,4.882812e-03,-2.541984e+02,4.882812e-03,-2.535230e+02,4.882812e-03,-1.981961e+02
5.371094e-03,-1.873642e+02,5.371094e-03,-2.347554e+02,5.371094e-03,-2.429017e+02,5.371094e-03,-2.466658e+02,5.371094e-03,-2.508999e+02,5.371094e-03,-2.528512e+02,5.371094e-03,-2.533962e+02,5.371094e-03,-2.549881e+02,5.371094e-03,-1.973668e+02
5.859375e-03,-1.865558e+02,5.859375e-03,-2.336646e+02,5.859375e-03,-2.428057e+02,5.859375e-03,-2.467985e+02,5.859375e-03,-2.488705e+02,5.859375e-03,-2.506232e+02,5.859375e-03,-2.530560e+02,5.859375e-03,-2.563524e+02,5.859375e-03,-1.994989e+02
6.347656e-03,-1.852218e+02,6.347656e-03,-2.354269e+02,6.347656e-03,-2.415551e+02,6.347656e-03,-2.453930e+02,6.347656e-03,-2.479463e+02,6.347656e-03,-2.514567e+02,6.347656e-03,-2.527254e+02,6.347656e-03,-2.533341e+02,6.347656e-03,-2.024949e+02
6.835938e-03,-1.847466e+02,6.835938e-03,-2.360537e+02,6.835938e-03,-2.395930e+02,6.835938e-03,-2.454198e+02,6.835938e-03,-2.486884e+02,6.835938e-03,-2.524851e+02,6.835938e-03,-2.524637e+02,6.835938e-03,-2.518165e+02,6.835938e-03,-2.077613e+02
7.324219e-03,-1.863541e+02,7.324219e-03,-2.353844e+02,7.324219e-03,-2.399094e+02,7.324219e-03,-2.462278e+02,7.324219e-03,-2.485616e+02,7.324219e-03,-2.520280e+02,7.324219e-03,-2.525240e+02,7.324219e-03,-2.520548e+02,7.324219e-03,-2.055575e+02
7.812500e-03,-1.883872e+02,7.812500e-03,-2.344509e+02,7.812500e-03,-2.406388e+02,7.812500e-03,-2.463845e+02,7.812500e-03,-2.484381e+02,7.812500e-03,-2.511156e+02,7.812500e-03,-2.529696e+02,7.812500e-03,-2.531338e+02,7.812500e-03,-1.996751e+02
8.300781e-03,-1.903095e+02,8.300781e-03,-2.331448e+02,8.300781e-03,-2.420877e+02,8.300781e-03,-2.457995e+02,8.300781e-03,-2.479209e+02,8.300781e-03,-2.507236e+02,8.300781e-03,-2.534293e+02,8.300781e-03,-2.535683e+02,8.300781e-03,-1.955158e+02
8.789062e-03,-1.901382e+02,8.789062e-03,-2.335429e+02,8.789062e-03,-2.429199e+02,8.789062e-03,-2.463271e+02,8.789062e-03,-2.478208e+02,8.789062e-03,-2.512639e+02,8.789062e-03,-2.531253e+02,8.789062e-03,-2.536915e+02,8.789062e-03,-1.923161e+02
