f_0,tf_0,f_lp_0,tf_lp_0,f_1,tf_1,f_lp_1,tf_lp_1,f_2,tf_2,f_lp_2,tf_lp_2
0.000000e+00,-3.307637e+02,0.000000e+00,6.495042e+01,0.000000e+00,-3.365376e+02,0.000000e+00,3.247521e+01,0.000000e+00,-3.383532e+02,0.000000e+00,1.623760e+01
5.005005e-04,-7.198975e+01,5.005005e-04,6.497272e+01,5.005005e-04,-8.918925e+01,5.005005e-04,3.248190e+01,5.005005e-04,-8.306845e+01,5.005005e-04,1.623983e+01
1.001001e-03,-6.596387e+01,1.001001e-03,6.503986e+01,1.001001e-03,-8.316827e+01,1.001001e-03,3.250198e+01,1.001001e-03,-7.704779e+01,1.001001e-03,1.624652e+01
1.501502e-03,-6.243323e+01,1.501502e-03,6.515258e+01,1.501502e-03,-7.964582e+01,1.501502e-03,3.253553e+01,1.501502e-03,-7.352586e+01,1.501502e-03,1.625768e+01
2.002002e-03,-5.992213e+01,2.002002e-03,6.531214e+01,2.002002e-03,-7.714616e+01,2.002002e-03,3.258267e+01,2.002002e-03,-7.102693e+01,2.002002e-03,1.627333e+01
2.502503e-03,-5.796808e+01,2.502503e-03,6.552038e+01,2.502503e-03,-7.520682e+01,2.502503e-03,3.264358e+01,2.502503e-03,-6.908853e+01,2.502503e-03,1.629348e+01
3.003003e-03,-5.636508e+01,3.003003e-03,6.577982e+01,3.003003e-03,-7.362181e+01,3.003003e-03,3.271847e+01,3.003003e-03,-6.750467e+01,3.003003e-03,1.631819e+01
3.503504e-03,-5.500326e+01,3.503504e-03,6.609375e+01,3.503504e-03,-7.228123e+01,3.503504e-03,3.280764e+01,3.503504e-03,-6.616545e+01,3.503504e-03,1.634747e+01
4.004004e-03,-5.381702e+01,4.004004e-03,6.646645e+01,4.004004e-03,-7.111950e+01,4.004004e-03,3.291142e+01,4.004004e-03,-6.500528e+01,4.004004e-03,1.638138e+01
4.504505e-03,-5.276406e+01,4.504505e-03,6.690342e+01,4.504505e-03,-7.009430e+01,4.504505e-03,3.303023e+01,4.504505e-03,-6.398186e+01,4.504505e-03,1.641998e+01
